command_at_incident,command_fullname,zipcode,complaint_id
075 PCT,075 Precinct,11208,1364
046 PCT,046 Precinct,10457,825
044 PCT,044 Precinct,10452,763
079 PCT,079 Precinct,11216,737
067 PCT,067 Precinct,11226,710
073 PCT,073 Precinct,11212,688
047 PCT,047 Precinct,10466,687
077 PCT,077 Precinct,11213,671
101 PCT,101 Precinct,11691,536
120 PCT,120 Precinct,10301,514
052 PCT,052 Precinct,10467,501
113 PCT,113 Precinct,11434,499
070 PCT,070 Precinct,11230,496
040 PCT,040 Precinct,10454,477
048 PCT,048 Precinct,10457,476
083 PCT,083 Precinct,11237,456
071 PCT,071 Precinct,11225,424
069 PCT,069 Precinct,11236,418
081 PCT,081 Precinct,11221,410
043 PCT,043 Precinct,10473,394
041 PCT,041 Precinct,10459,391
032 PCT,032 Precinct,10030,352
042 PCT,042 Precinct,10451,335
023 PCT,023 Precinct,10029,326
025 PCT,025 Precinct,10035,325
103 PCT,103 Precinct,11432,324
105 PCT,105 Precinct,11428,309
049 PCT,049 Precinct,10461,274
034 PCT,034 Precinct,10033,270
121 PCT,121 Precinct,10314,252
090 PCT,090 Precinct,11211,244
072 PCT,072 Precinct,11232,229
033 PCT,033 Precinct,10032,226
060 PCT,060 Precinct,11224,213
028 PCT,028 Precinct,10027,202
063 PCT,063 Precinct,11210,197
030 PCT,030 Precinct,10031,193
110 PCT,110 Precinct,11373,192
050 PCT,050 Precinct,10463,184
102 PCT,102 Precinct,11418,182
115 PCT,115 Precinct,11372,182
104 PCT,104 Precinct,11385,170
009 PCT,009 Precinct,10003,148
010 PCT,010 Precinct,10011,146
062 PCT,062 Precinct,11214,144
122 PCT,122 Precinct,10306,140
024 PCT,024 Precinct,10025,139
068 PCT,068 Precinct,11220,136
007 PCT,007 Precinct,10002,135
114 PCT,114 Precinct,11103,133
045 PCT,045 Precinct,10465,129
006 PCT,006 Precinct,10014,123
109 PCT,109 Precinct,11354,121
084 PCT,084 Precinct,11201,120
088 PCT,088 Precinct,11205,115
106 PCT,106 Precinct,11417,112
107 PCT,107 Precinct,11365,109
061 PCT,061 Precinct,11223,108
112 PCT,112 Precinct,11375,105
001 PCT,001 Precinct,10013,102
019 PCT,019 Precinct,10065,95
123 PCT,123 Precinct,10307,94
108 PCT,108 Precinct,11101,92
100 PCT,100 Precinct,11693,81
005 PCT,005 Precinct,10013,81
076 PCT,076 Precinct,11231,75
094 PCT,094 Precinct,11222,73
020 PCT,020 Precinct,10024,67
013 PCT,013 Precinct,10010,65
026 PCT,026 Precinct,10027,61
017 PCT,017 Precinct,10022,50
078 PCT,078 Precinct,11217,46
066 PCT,066 Precinct,11204,34
111 PCT,111 Precinct,11361,21
